Date,Open,High,Low,Close,Adj Close,Volume
2013-04-18,50.150002,50.150002,50.150002,50.150002,44.209034,100
2013-04-19,50.150002,50.150002,50.150002,50.150002,44.209034,0
2013-04-22,50.209999,50.209999,50.209999,50.209999,44.261921,100
2013-04-23,50.910000,50.980000,50.910000,50.980000,44.940704,200
2013-04-24,50.619999,50.619999,50.619999,50.619999,44.623352,200
2013-04-25,51.220001,51.220001,51.220001,51.220001,45.152283,600
2013-04-26,51.430000,51.430000,51.200001,51.200001,45.134655,600
2013-04-29,51.220001,51.450001,51.220001,51.450001,45.355038,4600
2013-04-30,51.279999,51.619999,51.279999,51.619999,45.504890,4800
2013-05-01,50.490002,50.490002,50.490002,50.490002,44.508759,900
2013-05-02,50.490002,50.490002,50.490002,50.490002,44.508759,0
2013-05-03,52.119999,52.139999,51.980000,52.029999,45.866325,2400
2013-05-06,52.430000,52.430000,52.430000,52.430000,46.218937,100
2013-05-07,52.110001,52.240002,52.110001,52.240002,46.051445,1000
2013-05-08,52.340000,52.340000,52.320000,52.320000,46.121964,2100
2013-05-09,52.410000,52.410000,52.200001,52.230000,46.042637,4200
2013-05-10,52.230000,52.230000,52.230000,52.230000,46.042637,0
2013-05-13,52.389999,52.389999,52.389999,52.389999,46.183678,200
2013-05-14,52.869999,52.950001,52.869999,52.950001,46.677341,2500
2013-05-15,52.990002,53.180000,52.990002,53.160000,46.862453,500
2013-05-16,53.790001,53.790001,53.000000,53.000000,46.721424,900
2013-05-17,53.130001,53.130001,53.130001,53.130001,46.836018,400
2013-05-20,53.389999,53.400002,53.279999,53.290001,46.977062,7600
2013-05-21,53.430000,53.430000,53.430000,53.430000,47.100464,200
2013-05-22,53.540001,53.540001,52.820000,52.820000,46.562737,1400
2013-05-23,52.200001,52.580002,52.200001,52.560001,46.333542,4800
2013-05-24,52.400002,52.400002,52.279999,52.320000,46.121964,3000
2013-05-28,52.980000,52.980000,52.660000,52.700001,46.456940,2000
2013-05-29,52.099998,52.099998,52.099998,52.099998,45.928020,200
2013-05-30,52.389999,52.389999,52.389999,52.389999,46.183678,300
2013-05-31,52.389999,52.389999,52.389999,52.389999,46.183678,200
2013-06-03,51.520000,51.619999,51.520000,51.619999,45.504890,200
2013-06-04,51.730000,51.750000,51.450001,51.450001,45.355038,2500
2013-06-05,51.000000,51.000000,50.980000,50.980000,44.940704,400
2013-06-06,50.830002,50.830002,50.830002,50.830002,44.808487,100
2013-06-07,51.830002,51.849998,51.830002,51.849998,45.707645,1200
2013-06-10,52.270000,52.270000,51.930000,51.930000,45.778168,3700
2013-06-11,51.849998,51.849998,51.849998,51.849998,45.707645,500
2013-06-12,51.750000,51.750000,51.430000,51.430000,45.337406,1100
2013-06-13,51.750000,51.750000,51.090000,51.240002,45.169914,700
2013-06-14,51.959999,51.959999,51.959999,51.959999,45.804615,2100
2013-06-17,51.990002,51.990002,51.990002,51.990002,45.831070,300
2013-06-18,51.990002,51.990002,51.990002,51.990002,45.831070,0
2013-06-19,51.990002,51.990002,51.990002,51.990002,45.831070,0
2013-06-20,50.759998,50.759998,50.490002,50.490002,44.508759,4100
2013-06-21,50.639999,50.639999,50.639999,50.639999,44.640984,300
2013-06-24,50.639999,50.639999,50.639999,50.639999,44.640984,0
2013-06-25,50.639999,50.639999,50.639999,50.639999,44.640984,0
2013-06-26,51.070000,51.070000,51.070000,51.070000,45.020046,500
2013-06-27,51.290001,51.290001,51.290001,51.290001,45.403347,300
2013-06-28,51.310001,51.310001,51.310001,51.310001,45.421059,100
2013-07-01,51.389999,51.389999,51.389999,51.389999,45.491886,1000
2013-07-02,51.389999,51.389999,51.389999,51.389999,45.491886,0
2013-07-03,50.480000,51.349998,50.480000,51.349998,45.456467,2500
2013-07-05,51.349998,51.349998,51.349998,51.349998,45.456467,0
2013-07-08,52.049999,52.049999,52.049999,52.049999,46.076134,200
2013-07-09,52.049999,52.049999,52.049999,52.049999,46.076134,0
2013-07-10,52.049999,52.049999,52.049999,52.049999,46.076134,0
2013-07-11,53.040001,53.040001,53.040001,53.040001,46.952492,1000
2013-07-12,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-15,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-16,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-17,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-18,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-19,53.040001,53.040001,53.040001,53.040001,46.952492,0
2013-07-22,52.889999,55.950001,52.889999,54.000000,47.802330,1600
2013-07-23,54.000000,54.000000,54.000000,54.000000,47.802330,0
2013-07-24,54.000000,54.000000,54.000000,54.000000,47.802330,0
2013-07-25,54.000000,54.000000,54.000000,54.000000,47.802330,0
2013-07-26,54.000000,54.000000,54.000000,54.000000,47.802330,0
2013-07-29,53.790001,53.790001,53.750000,53.750000,47.581020,200
2013-07-30,53.750000,53.750000,53.750000,53.750000,47.581020,0
2013-07-31,53.900002,53.900002,53.900002,53.900002,47.713810,300
2013-08-01,53.900002,53.900002,53.900002,53.900002,47.713810,0
2013-08-02,53.900002,53.900002,53.900002,53.900002,47.713810,0
2013-08-05,54.480000,54.480000,54.480000,54.480000,48.227234,100
2013-08-06,54.480000,54.480000,54.480000,54.480000,48.227234,0
2013-08-07,54.480000,54.480000,54.480000,54.480000,48.227234,0
2013-08-08,54.480000,54.480000,54.480000,54.480000,48.227234,0
2013-08-09,54.169998,54.180000,54.169998,54.180000,47.961658,500
2013-08-12,54.180000,54.180000,54.180000,54.180000,47.961658,0
2013-08-13,54.180000,54.180000,54.180000,54.180000,47.961658,0
2013-08-14,54.180000,54.180000,54.180000,54.180000,47.961658,0
2013-08-15,52.959999,52.959999,52.959999,52.959999,46.881683,200
2013-08-16,52.959999,52.959999,52.959999,52.959999,46.881683,0
2013-08-19,52.529999,52.540001,52.529999,52.529999,46.501034,20300
2013-08-20,52.889999,52.889999,52.889999,52.889999,46.819717,10800
2013-08-21,52.889999,52.889999,52.889999,52.889999,46.819717,0
2013-08-22,52.889999,52.889999,52.889999,52.889999,46.819717,0
2013-08-23,53.009998,53.009998,53.009998,53.009998,46.925941,200
2013-08-26,53.070000,53.209999,53.070000,53.119999,47.023319,500
2013-08-27,53.119999,53.119999,53.119999,53.119999,47.023319,0
2013-08-28,52.220001,52.220001,52.220001,52.220001,46.226624,400
2013-08-29,52.220001,52.220001,52.220001,52.220001,46.226624,0
2013-08-30,52.110001,52.119999,52.110001,52.119999,46.138088,1400
2013-09-03,52.119999,52.119999,52.119999,52.119999,46.138088,0
2013-09-04,52.560001,52.560001,52.560001,52.560001,46.527592,1000
2013-09-05,52.560001,52.560001,52.560001,52.560001,46.527592,0
2013-09-06,52.820000,52.820000,52.820000,52.820000,46.757751,2000
2013-09-09,53.040001,53.040001,53.040001,53.040001,46.952492,200
2013-09-10,53.290001,53.380001,53.290001,53.380001,47.253483,2900
2013-09-11,53.380001,53.380001,53.380001,53.380001,47.253483,0
2013-09-12,53.380001,53.380001,53.380001,53.380001,47.253483,0
2013-09-13,53.380001,53.380001,53.380001,53.380001,47.253483,0
2013-09-16,54.009998,54.009998,54.009998,54.009998,47.811180,200
2013-09-17,54.009998,54.009998,54.009998,54.009998,47.811180,0
2013-09-18,54.009998,54.009998,54.009998,54.009998,47.811180,0
2013-09-19,55.060001,55.060001,54.939999,54.939999,48.634438,1700
2013-09-20,54.740002,54.740002,54.500000,54.500000,48.244938,700
2013-09-23,54.500000,54.500000,54.500000,54.500000,48.244938,0
2013-09-24,54.500000,54.500000,54.500000,54.500000,48.487827,0
2013-09-25,54.500000,54.500000,54.500000,54.500000,48.487827,0
2013-09-26,54.500000,54.500000,54.500000,54.500000,48.487827,0
2013-09-27,54.500000,54.500000,54.500000,54.500000,48.487827,0
2013-09-30,53.619999,53.619999,53.490002,53.490002,47.589241,600
2013-10-01,53.490002,53.490002,53.490002,53.490002,47.589241,0
2013-10-02,53.619999,53.619999,53.619999,53.619999,47.704887,200
2013-10-03,53.119999,53.310001,53.119999,53.310001,47.429092,200
2013-10-04,53.619999,53.619999,53.619999,53.619999,47.704887,200
2013-10-07,53.619999,53.619999,53.619999,53.619999,47.704887,0
2013-10-08,53.369999,53.369999,53.369999,53.369999,47.482468,300
2013-10-09,52.849998,52.930000,52.849998,52.930000,47.090996,1200
2013-10-10,52.930000,52.930000,52.930000,52.930000,47.090996,0
2013-10-11,54.029999,54.139999,54.029999,54.139999,48.167534,400
